Unnamed: 0,id,brand,name,price,currency,category,created_at,description
1,1047,colourpop,Blotted Lip,5.5,CAD,lipstick,2018-07-08T22:01:20.178Z,"Blotted Lip Sheer matte lipstick that creates the perfect popsicle pout! Formula is lightweight, matte and buildable for light to medium coverage."
2,1046,colourpop,Lippie Stix,5.5,CAD,lipstick,2018-07-08T21:47:49.858Z,"Lippie Stix Formula contains Vitamin E, Mango, Avocado, and Shea butter for added comfort and moisture. None of our Lippie formulas contain any nasty ingredients like Parabens or Sulfates."
4,1044,boosh,Lipstick,26.0,CAD,lipstick,2018-07-08T17:32:28.088Z,"All of our products are free from lead and heavy metals, parabens, phthalates, artificial colourants, and synthetic fragrances.  Boosh lipstick glides on smoothly for clean & protective SPF coverage. They are filled with hydrating oils and butters to preserve and enhance your lips natural surface. Organic sweet orange oil gives a light and cheerful scent."
19,1029,nudus,Amalia,0.0,USD,lipstick,2018-06-30T19:19:31.441Z,"named after my beautiful mum, delicately pink that displays sophistication. a perfect sheer wash of gorgeous colour that brings a new texture to the lip euphoria range. <strong>lipstick benefits</strong> a unique handcrafted lipstick blended with certified organic ingredients. beautifully pigmented with ancient ayurvedic bioactive colour extracts, leaving your lips soft and deliciously hydrated.<strong>key benefits</strong><ul><li>vitamins, A, B, C, D, E and K</li><li>antioxidants, including pomegranate, raspberry and kiwi cold pressed oils</li><li>27 active natural ingredients, helping against environmental stress</li><li>colours made from flowers, fruits, herbs and minerals</li><li>free from parabens, petro-chemicals, lanolin, hydrogenated oils,fd&amp;c and lake dyes, nano-particles, gmo, pesticides and fungicides</li><li>not tested on animals</li><li>gluten free</li></ul>"
25,1023,marienatie,Lipstick,0.0,USD,lipstick,2018-06-30T19:19:31.034Z,"A pure and creamy lipstick by MarieNatie formulated with organic jojoba, avocado, and coconut oil which are rich in anti-oxidants and have moisturizing benefits. Enriched with naturally derived organic mango and cocoa butters that will soothe, hydrate and regenerate dry lips."
38,1010,coastal classic creation,Conch Lipstick,0.0,USD,lipstick,2018-06-30T19:19:30.184Z,"Coastal Classic Creations Conch Lipstick is a flattering, stylish, rich winterberry color. This lipstick is paraben-free and vegan and contains sunflower oil which is rich in Vitamin E and which may protect against damage from the sun. To boost the product's effectiveness, we add sesame seed oil which contains Vitamins E, D, and B complex to provide moisture and neutralize free radicals. Companions well with Boysenberry Lip Crayon."
159,888,nyx,Luv Out Loud Liquid Lipstick,7.0,USD,lipstick,2017-12-24T02:27:19.139Z,"What qualities make a person beautiful? Passion, confidence and fearlessness, to name a few. Available in six velvety-matte shades, our new Luv Out Loud Liquid Lipsticks capture the attributes we at NYX Professional Makeup find truly beautiful. Gift one, two-or all six lippies to a friend who rocks these amazing qualities and inspires you to live (and luv!) out loud."
160,887,nyx,V'Amped Up! Lip Top Coat,6.0,USD,lipstick,2017-12-24T02:27:18.408Z,Cast a spell on your neutral lippies with a swipe of our wicked V'Amped Up! Lip Top Coat. Infused with shea butter and Vitamin E this glossy pencil moisturizes while transforming light lip colors to deep vampy shades.
161,886,nyx,Simply Pink Lip Cream,6.5,USD,lipstick,2017-12-24T02:27:17.373Z,Get ready to look seriously pretty in pink. From natural to extreme pick your favorite shade from our Simply Pink Lip Creams for a rosy and glossy finish.
162,885,nyx,Simply Red Lip Cream,6.5,USD,lipstick,2017-12-24T02:27:16.374Z,A classic red pout never goes out of style! Our Simply Red Lip Cream collection gives you loads of color options varying from deep bright or pure red that you can’t go wrong with.
